# RandomSeed is not predefined. Generated seed value:  6968595870316292916
# VNS started at: 2023-10-14 09:17:44.019923
# Execution parameters: {'algorithm': 'variable_neighborhood_search', 'optimization_type': 'maximization', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/teaching/max_ones_problem/outputs/dimension_10.csv', 'outputFileNameAppendTimeStamp': True, 'outputFields': 'iteration, evaluation, best_solution.string_representation()', 'outputMoments': 'after_algorithm, after_iteration', 'inputFilePath': 'opt/single_objective/teaching/max_ones_problem/inputs/dimension_10.txt', 'inputFormat': 'txt', 'finishCriteria': 'evaluations & seconds', 'finishEvaluationsMax': 3000, 'finishIterationsMax': 0, 'finishSecondsMax': 0, 'randomSeed': 0, 'solutionEvaluationCacheIsUsed': True, 'solutionEvaluationCacheMaxSize': 100000, 'solutionDistanceCalculationCacheIsUsed': True, 'solutionDistanceCalculationCacheMaxSize': 300000, 'additionalStatisticsKeep': 'None', 'additionalStatisticsMaxLocalOptima': 5, 'kMin': 1, 'kMax': 3, 'localSearchType': 'local_search_best_improvement', 'solutionType': 'BitArray', 'log': 'warning'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	
330	1536	a_i	1111111111000000	10	10	True	
331	1537	a_i	1111111111000000	10	10	True	
332	1538	a_i	1111111111000000	10	10	True	
333	1539	a_i	1111111111000000	10	10	True	
334	1540	a_i	1111111111000000	10	10	True	
335	1541	a_i	1111111111000000	10	10	True	
336	1542	a_i	1111111111000000	10	10	True	
337	1543	a_i	1111111111000000	10	10	True	
338	1544	a_i	1111111111000000	10	10	True	
339	1545	a_i	1111111111000000	10	10	True	
340	1546	a_i	1111111111000000	10	10	True	
341	1547	a_i	1111111111000000	10	10	True	
342	1548	a_i	1111111111000000	10	10	True	
343	1549	a_i	1111111111000000	10	10	True	
344	1550	a_i	1111111111000000	10	10	True	
345	1551	a_i	1111111111000000	10	10	True	
346	1552	a_i	1111111111000000	10	10	True	
347	1553	a_i	1111111111000000	10	10	True	
348	1554	a_i	1111111111000000	10	10	True	
349	1555	a_i	1111111111000000	10	10	True	
350	1556	a_i	1111111111000000	10	10	True	
351	1557	a_i	1111111111000000	10	10	True	
352	1558	a_i	1111111111000000	10	10	True	
353	1559	a_i	1111111111000000	10	10	True	
354	1560	a_i	1111111111000000	10	10	True	
355	1561	a_i	1111111111000000	10	10	True	
356	1562	a_i	1111111111000000	10	10	True	
357	1563	a_i	1111111111000000	10	10	True	
358	1564	a_i	1111111111000000	10	10	True	
359	1565	a_i	1111111111000000	10	10	True	
360	1566	a_i	1111111111000000	10	10	True	
361	1567	a_i	1111111111000000	10	10	True	
362	1568	a_i	1111111111000000	10	10	True	
363	1569	a_i	1111111111000000	10	10	True	
364	1570	a_i	1111111111000000	10	10	True	
365	1571	a_i	1111111111000000	10	10	True	
366	1572	a_i	1111111111000000	10	10	True	
367	1573	a_i	1111111111000000	10	10	True	
368	1574	a_i	1111111111000000	10	10	True	
369	1575	a_i	1111111111000000	10	10	True	
370	1576	a_i	1111111111000000	10	10	True	
371	1577	a_i	1111111111000000	10	10	True	
372	1578	a_i	1111111111000000	10	10	True	
373	1579	a_i	1111111111000000	10	10	True	
374	1580	a_i	1111111111000000	10	10	True	
375	1581	a_i	1111111111000000	10	10	True	
376	1582	a_i	1111111111000000	10	10	True	
377	1583	a_i	1111111111000000	10	10	True	
378	1584	a_i	1111111111000000	10	10	True	
379	1585	a_i	1111111111000000	10	10	True	
380	1586	a_i	1111111111000000	10	10	True	
381	1587	a_i	1111111111000000	10	10	True	
382	1588	a_i	1111111111000000	10	10	True	
383	1589	a_i	1111111111000000	10	10	True	
384	1590	a_i	1111111111000000	10	10	True	
385	1591	a_i	1111111111000000	10	10	True	
386	1592	a_i	1111111111000000	10	10	True	
387	1593	a_i	1111111111000000	10	10	True	
388	1594	a_i	1111111111000000	10	10	True	
389	1595	a_i	1111111111000000	10	10	True	
390	1596	a_i	1111111111000000	10	10	True	
391	1597	a_i	1111111111000000	10	10	True	
392	1598	a_i	1111111111000000	10	10	True	
393	1599	a_i	1111111111000000	10	10	True	
394	1600	a_i	1111111111000000	10	10	True	
395	1601	a_i	1111111111000000	10	10	True	
396	1602	a_i	1111111111000000	10	10	True	
397	1603	a_i	1111111111000000	10	10	True	
398	1604	a_i	1111111111000000	10	10	True	
399	1605	a_i	1111111111000000	10	10	True	
400	1606	a_i	1111111111000000	10	10	True	
401	1607	a_i	1111111111000000	10	10	True	
402	1608	a_i	1111111111000000	10	10	True	
403	1609	a_i	1111111111000000	10	10	True	
404	1610	a_i	1111111111000000	10	10	True	
405	1611	a_i	1111111111000000	10	10	True	
406	1612	a_i	1111111111000000	10	10	True	
407	1613	a_i	1111111111000000	10	10	True	
408	1614	a_i	1111111111000000	10	10	True	
409	1615	a_i	1111111111000000	10	10	True	
410	1616	a_i	1111111111000000	10	10	True	
411	1617	a_i	1111111111000000	10	10	True	
412	1618	a_i	1111111111000000	10	10	True	
413	1619	a_i	1111111111000000	10	10	True	
414	1620	a_i	1111111111000000	10	10	True	
415	1621	a_i	1111111111000000	10	10	True	
416	1622	a_i	1111111111000000	10	10	True	
417	1623	a_i	1111111111000000	10	10	True	
418	1624	a_i	1111111111000000	10	10	True	
419	1625	a_i	1111111111000000	10	10	True	
420	1626	a_i	1111111111000000	10	10	True	
421	1627	a_i	1111111111000000	10	10	True	
422	1628	a_i	1111111111000000	10	10	True	
423	1629	a_i	1111111111000000	10	10	True	
424	1630	a_i	1111111111000000	10	10	True	
425	1631	a_i	1111111111000000	10	10	True	
426	1632	a_i	1111111111000000	10	10	True	
427	1633	a_i	1111111111000000	10	10	True	
428	1634	a_i	1111111111000000	10	10	True	
429	1635	a_i	1111111111000000	10	10	True	
430	1636	a_i	1111111111000000	10	10	True	
431	1637	a_i	1111111111000000	10	10	True	
432	1638	a_i	1111111111000000	10	10	True	
433	1639	a_i	1111111111000000	10	10	True	
434	1640	a_i	1111111111000000	10	10	True	
435	1641	a_i	1111111111000000	10	10	True	
436	1642	a_i	1111111111000000	10	10	True	
437	1643	a_i	1111111111000000	10	10	True	
438	1644	a_i	1111111111000000	10	10	True	
439	1645	a_i	1111111111000000	10	10	True	
440	1646	a_i	1111111111000000	10	10	True	
441	1647	a_i	1111111111000000	10	10	True	
442	1648	a_i	1111111111000000	10	10	True	
443	1649	a_i	1111111111000000	10	10	True	
444	1650	a_i	1111111111000000	10	10	True	
445	1651	a_i	1111111111000000	10	10	True	
446	1652	a_i	1111111111000000	10	10	True	
447	1653	a_i	1111111111000000	10	10	True	
448	1654	a_i	1111111111000000	10	10	True	
449	1655	a_i	1111111111000000	10	10	True	
450	1656	a_i	1111111111000000	10	10	True	
451	1657	a_i	1111111111000000	10	10	True	
452	1658	a_i	1111111111000000	10	10	True	
453	1659	a_i	1111111111000000	10	10	True	
454	1660	a_i	1111111111000000	10	10	True	
455	1661	a_i	1111111111000000	10	10	True	
456	1662	a_i	1111111111000000	10	10	True	
457	1663	a_i	1111111111000000	10	10	True	
458	1664	a_i	1111111111000000	10	10	True	
459	1665	a_i	1111111111000000	10	10	True	
460	1666	a_i	1111111111000000	10	10	True	
461	1667	a_i	1111111111000000	10	10	True	
462	1668	a_i	1111111111000000	10	10	True	
463	1669	a_i	1111111111000000	10	10	True	
464	1670	a_i	1111111111000000	10	10	True	
465	1671	a_i	1111111111000000	10	10	True	
466	1672	a_i	1111111111000000	10	10	True	
467	1673	a_i	1111111111000000	10	10	True	
468	1674	a_i	1111111111000000	10	10	True	
469	1675	a_i	1111111111000000	10	10	True	
470	1676	a_i	1111111111000000	10	10	True	
471	1677	a_i	1111111111000000	10	10	True	
472	1678	a_i	1111111111000000	10	10	True	
473	1679	a_i	1111111111000000	10	10	True	
474	1680	a_i	1111111111000000	10	10	True	
475	1681	a_i	1111111111000000	10	10	True	
476	1682	a_i	1111111111000000	10	10	True	
477	1683	a_i	1111111111000000	10	10	True	
478	1684	a_i	1111111111000000	10	10	True	
479	1685	a_i	1111111111000000	10	10	True	
480	1686	a_i	1111111111000000	10	10	True	
481	1687	a_i	1111111111000000	10	10	True	
482	1688	a_i	1111111111000000	10	10	True	
483	1689	a_i	1111111111000000	10	10	True	
484	1690	a_i	1111111111000000	10	10	True	
485	1691	a_i	1111111111000000	10	10	True	
486	1692	a_i	1111111111000000	10	10	True	
487	1693	a_i	1111111111000000	10	10	True	
488	1694	a_i	1111111111000000	10	10	True	
489	1695	a_i	1111111111000000	10	10	True	
490	1696	a_i	1111111111000000	10	10	True	
491	1697	a_i	1111111111000000	10	10	True	
492	1698	a_i	1111111111000000	10	10	True	
493	1699	a_i	1111111111000000	10	10	True	
494	1700	a_i	1111111111000000	10	10	True	
495	1701	a_i	1111111111000000	10	10	True	
496	1702	a_i	1111111111000000	10	10	True	
