# RandomSeed is not predefined. Generated seed value:  4110100093912798890
# variable_neighborhood_search started at: 2024-01-15 09:22:04.889723
# Execution parameters: {'algorithm': 'variable_neighborhood_search', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/comb/ones_count_max_problem/outputs/dimension_10.csv', 'outputFileNameAppendTimeStamp': True, 'outputFields': 'iteration, evaluation, best_solution.argument()', 'outputMoments': 'after_algorithm, after_iteration', 'inputFilePath': 'opt/single_objective/comb/ones_count_max_problem/inputs/dimension_10.txt', 'inputFormat': 'txt', 'finishCriteria': 'evaluations & seconds', 'finishEvaluationsMax': 3000, 'finishIterationsMax': 0, 'finishSecondsMax': 0, 'randomSeed': 0, 'solutionEvaluationCacheIsUsed': True, 'solutionEvaluationCacheMaxSize': 100000, 'solutionDistanceCalculationCacheIsUsed': True, 'solutionDistanceCalculationCacheMaxSize': 300000, 'additionalStatisticsIsActive': True, 'additionalStatisticsKeep': 'none', 'additionalStatisticsMaxLocalOptimaCount': 5, 'kMin': 1, 'kMax': 3, 'localSearchType': 'localSearchBestImprovement', 'solutionType': 'BitArray', 'log': 'warning'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	best_solution_argument	
147	1325	a_i	1111111111	10	10	True	XXX	
148	1326	a_i	1111111111	10	10	True	XXX	
149	1327	a_i	1111111111	10	10	True	XXX	
150	1328	a_i	1111111111	10	10	True	XXX	
151	1329	a_i	1111111111	10	10	True	XXX	
152	1330	a_i	1111111111	10	10	True	XXX	
153	1331	a_i	1111111111	10	10	True	XXX	
154	1332	a_i	1111111111	10	10	True	XXX	
155	1333	a_i	1111111111	10	10	True	XXX	
156	1334	a_i	1111111111	10	10	True	XXX	
157	1335	a_i	1111111111	10	10	True	XXX	
158	1336	a_i	1111111111	10	10	True	XXX	
159	1337	a_i	1111111111	10	10	True	XXX	
160	1338	a_i	1111111111	10	10	True	XXX	
161	1339	a_i	1111111111	10	10	True	XXX	
162	1340	a_i	1111111111	10	10	True	XXX	
163	1341	a_i	1111111111	10	10	True	XXX	
164	1342	a_i	1111111111	10	10	True	XXX	
165	1343	a_i	1111111111	10	10	True	XXX	
166	1344	a_i	1111111111	10	10	True	XXX	
167	1345	a_i	1111111111	10	10	True	XXX	
168	1346	a_i	1111111111	10	10	True	XXX	
169	1347	a_i	1111111111	10	10	True	XXX	
170	1348	a_i	1111111111	10	10	True	XXX	
171	1349	a_i	1111111111	10	10	True	XXX	
172	1350	a_i	1111111111	10	10	True	XXX	
173	1351	a_i	1111111111	10	10	True	XXX	
174	1352	a_i	1111111111	10	10	True	XXX	
175	1353	a_i	1111111111	10	10	True	XXX	
176	1354	a_i	1111111111	10	10	True	XXX	
177	1355	a_i	1111111111	10	10	True	XXX	
178	1356	a_i	1111111111	10	10	True	XXX	
179	1357	a_i	1111111111	10	10	True	XXX	
180	1358	a_i	1111111111	10	10	True	XXX	
181	1359	a_i	1111111111	10	10	True	XXX	
182	1360	a_i	1111111111	10	10	True	XXX	
183	1361	a_i	1111111111	10	10	True	XXX	
184	1362	a_i	1111111111	10	10	True	XXX	
185	1363	a_i	1111111111	10	10	True	XXX	
186	1364	a_i	1111111111	10	10	True	XXX	
187	1365	a_i	1111111111	10	10	True	XXX	
188	1366	a_i	1111111111	10	10	True	XXX	
189	1367	a_i	1111111111	10	10	True	XXX	
