# RandomSeed is not predefined. Generated seed value:  1746308911952093473
# variable_neighborhood_search started at: 2024-01-15 09:39:45.871109
# Execution parameters: {'algorithm': 'variable_neighborhood_search', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/comb/ones_count_max_problem/outputs/dimension_10.csv', 'outputFileNameAppendTimeStamp': True, 'outputFields': 'iteration, evaluation, best_solution.argument()', 'outputMoments': 'after_algorithm, after_iteration', 'inputFilePath': 'opt/single_objective/comb/ones_count_max_problem/inputs/dimension_10.txt', 'inputFormat': 'txt', 'finishCriteria': 'evaluations & seconds', 'finishEvaluationsMax': 3000, 'finishIterationsMax': 0, 'finishSecondsMax': 0, 'randomSeed': 0, 'solutionEvaluationCacheIsUsed': True, 'solutionEvaluationCacheMaxSize': 100000, 'solutionDistanceCalculationCacheIsUsed': True, 'solutionDistanceCalculationCacheMaxSize': 300000, 'additionalStatisticsIsActive': True, 'additionalStatisticsKeep': 'none', 'additionalStatisticsMaxLocalOptimaCount': 5, 'kMin': 1, 'kMax': 3, 'localSearchType': 'localSearchBestImprovement', 'solutionType': 'BitArray', 'log': 'warning'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	best_solution_argument	
131	1279	a_i	1111111111	10	10	True	XXX	
132	1280	a_i	1111111111	10	10	True	XXX	
133	1281	a_i	1111111111	10	10	True	XXX	
134	1282	a_i	1111111111	10	10	True	XXX	
135	1283	a_i	1111111111	10	10	True	XXX	
136	1284	a_i	1111111111	10	10	True	XXX	
137	1285	a_i	1111111111	10	10	True	XXX	
138	1286	a_i	1111111111	10	10	True	XXX	
139	1287	a_i	1111111111	10	10	True	XXX	
140	1288	a_i	1111111111	10	10	True	XXX	
141	1289	a_i	1111111111	10	10	True	XXX	
142	1290	a_i	1111111111	10	10	True	XXX	
143	1291	a_i	1111111111	10	10	True	XXX	
144	1292	a_i	1111111111	10	10	True	XXX	
145	1293	a_i	1111111111	10	10	True	XXX	
146	1294	a_i	1111111111	10	10	True	XXX	
147	1295	a_i	1111111111	10	10	True	XXX	
148	1296	a_i	1111111111	10	10	True	XXX	
149	1297	a_i	1111111111	10	10	True	XXX	
150	1298	a_i	1111111111	10	10	True	XXX	
151	1299	a_i	1111111111	10	10	True	XXX	
152	1300	a_i	1111111111	10	10	True	XXX	
153	1301	a_i	1111111111	10	10	True	XXX	
154	1302	a_i	1111111111	10	10	True	XXX	
155	1303	a_i	1111111111	10	10	True	XXX	
156	1304	a_i	1111111111	10	10	True	XXX	
157	1305	a_i	1111111111	10	10	True	XXX	
158	1306	a_i	1111111111	10	10	True	XXX	
159	1307	a_i	1111111111	10	10	True	XXX	
160	1308	a_i	1111111111	10	10	True	XXX	
161	1309	a_i	1111111111	10	10	True	XXX	
162	1310	a_i	1111111111	10	10	True	XXX	
163	1311	a_i	1111111111	10	10	True	XXX	
164	1312	a_i	1111111111	10	10	True	XXX	
165	1313	a_i	1111111111	10	10	True	XXX	
166	1314	a_i	1111111111	10	10	True	XXX	
167	1315	a_i	1111111111	10	10	True	XXX	
168	1316	a_i	1111111111	10	10	True	XXX	
169	1317	a_i	1111111111	10	10	True	XXX	
170	1318	a_i	1111111111	10	10	True	XXX	
171	1319	a_i	1111111111	10	10	True	XXX	
172	1320	a_i	1111111111	10	10	True	XXX	
173	1321	a_i	1111111111	10	10	True	XXX	
174	1322	a_i	1111111111	10	10	True	XXX	
175	1323	a_i	1111111111	10	10	True	XXX	
176	1324	a_i	1111111111	10	10	True	XXX	
177	1325	a_i	1111111111	10	10	True	XXX	
178	1326	a_i	1111111111	10	10	True	XXX	
179	1327	a_i	1111111111	10	10	True	XXX	
180	1328	a_i	1111111111	10	10	True	XXX	
181	1329	a_i	1111111111	10	10	True	XXX	
182	1330	a_i	1111111111	10	10	True	XXX	
183	1331	a_i	1111111111	10	10	True	XXX	
184	1332	a_i	1111111111	10	10	True	XXX	
185	1333	a_i	1111111111	10	10	True	XXX	
186	1334	a_i	1111111111	10	10	True	XXX	
187	1335	a_i	1111111111	10	10	True	XXX	
188	1336	a_i	1111111111	10	10	True	XXX	
189	1337	a_i	1111111111	10	10	True	XXX	
190	1338	a_i	1111111111	10	10	True	XXX	
191	1339	a_i	1111111111	10	10	True	XXX	
192	1340	a_i	1111111111	10	10	True	XXX	
193	1341	a_i	1111111111	10	10	True	XXX	
194	1342	a_i	1111111111	10	10	True	XXX	
195	1343	a_i	1111111111	10	10	True	XXX	
196	1344	a_i	1111111111	10	10	True	XXX	
197	1345	a_i	1111111111	10	10	True	XXX	
198	1346	a_i	1111111111	10	10	True	XXX	
199	1347	a_i	1111111111	10	10	True	XXX	
200	1348	a_i	1111111111	10	10	True	XXX	
201	1349	a_i	1111111111	10	10	True	XXX	
202	1350	a_i	1111111111	10	10	True	XXX	
203	1351	a_i	1111111111	10	10	True	XXX	
204	1352	a_i	1111111111	10	10	True	XXX	
205	1353	a_i	1111111111	10	10	True	XXX	
206	1354	a_i	1111111111	10	10	True	XXX	
207	1355	a_i	1111111111	10	10	True	XXX	
208	1356	a_i	1111111111	10	10	True	XXX	
209	1357	a_i	1111111111	10	10	True	XXX	
210	1358	a_i	1111111111	10	10	True	XXX	
211	1359	a_i	1111111111	10	10	True	XXX	
212	1360	a_i	1111111111	10	10	True	XXX	
213	1361	a_i	1111111111	10	10	True	XXX	
214	1362	a_i	1111111111	10	10	True	XXX	
215	1363	a_i	1111111111	10	10	True	XXX	
216	1364	a_i	1111111111	10	10	True	XXX	
217	1365	a_i	1111111111	10	10	True	XXX	
218	1366	a_i	1111111111	10	10	True	XXX	
219	1367	a_i	1111111111	10	10	True	XXX	
220	1368	a_i	1111111111	10	10	True	XXX	
221	1369	a_i	1111111111	10	10	True	XXX	
222	1370	a_i	1111111111	10	10	True	XXX	
223	1371	a_i	1111111111	10	10	True	XXX	
224	1372	a_i	1111111111	10	10	True	XXX	
225	1373	a_i	1111111111	10	10	True	XXX	
226	1374	a_i	1111111111	10	10	True	XXX	
227	1375	a_i	1111111111	10	10	True	XXX	
228	1376	a_i	1111111111	10	10	True	XXX	
229	1377	a_i	1111111111	10	10	True	XXX	
230	1378	a_i	1111111111	10	10	True	XXX	
231	1379	a_i	1111111111	10	10	True	XXX	
232	1380	a_i	1111111111	10	10	True	XXX	
233	1381	a_i	1111111111	10	10	True	XXX	
234	1382	a_i	1111111111	10	10	True	XXX	
235	1383	a_i	1111111111	10	10	True	XXX	
236	1384	a_i	1111111111	10	10	True	XXX	
237	1385	a_i	1111111111	10	10	True	XXX	
238	1386	a_i	1111111111	10	10	True	XXX	
239	1387	a_i	1111111111	10	10	True	XXX	
240	1388	a_i	1111111111	10	10	True	XXX	
241	1389	a_i	1111111111	10	10	True	XXX	
242	1390	a_i	1111111111	10	10	True	XXX	
243	1391	a_i	1111111111	10	10	True	XXX	
244	1392	a_i	1111111111	10	10	True	XXX	
245	1393	a_i	1111111111	10	10	True	XXX	
246	1394	a_i	1111111111	10	10	True	XXX	
